word,def
학여울근린공원,"체어웨이스트, 허리돌리기, 철봉, 트윈웨이스트, 평행봉, 레그프레스, 윗몸일으키기, 거꾸로매달리기"
한솔근린공원,"허리돌리기,공중걷기,평행봉,농구볼대,역기들어올리기,윗몸일으키기,파도타기"
한티근린공원,"파도타기, 허리돌리기, 공중걷기, 상체근육풀기"
해찬솔근린공원,"풀웨이트,파워프레스,윗몸일으키기,트위스트,래그프레스,파도타기,양팔 줄당기기"
삼성목련,"파도타기운동,양다리운동,뱃살운동,원그리기운동,스트레칭롤러,트윈트위스트,입식싸이클,양팔줄당기기,체어웨이트"
삼성까치,"큰활차머신,스윙워커머신,트위스트머신,철봉대,역기운동기구"
압구정은행나무,"오버레트풀리머신,큰활차머신,써핑롤링머신,스윙워커머신,싣업머신,체스트업머신,허리돌리기"
신사목련,"공중걷기,옆파도타기,등배운동기구,허리돌리기,조깅운동기구"
신사은행,"옆파도타기,매달리기운동기구,조깅운동기구,허리돌리기"
신사개나리,"마라톤운동기구,회전운동기구,허리운동기구,양회전운동기구,철봉"
신사까치,"트위스트,롤링웨이스트,워밍암,크로스컨트리"
신사무궁화,"옆회전 운동기구 ,양회전운동기구,마라톤운동기구,허리운동기구,뱃살운동기구,철봉"
논현무궁화," 워킹트레이너머신,큰활차머신,트위스트머신"
논현까치,"풀웨이트,트윈트위스트,롤링웨이스트"
